Update Date and Time (ISO),Update Duration (ms),Reading Date and Time (ISO),Air pressure (mb),Air temperature (C),Tide height (m),Wind direction (deg),Wind gust speed (kn),Wind speed (kn),True air temperature (C),True tide height (m),Independent tide height prediction (m),Independent tide height deviation (m),Dependent tide height prediction (m),Dependent tide height deviation (m),Independent air temperature prediction (C),Independent air temperature deviation (C),Dependent air temperature prediction (C),Dependent air temperature deviation (C)
2007-05-27T01:25:00,0,2007-05-27T01:25:00,1002,10.8,1.9,14,9.7,6.8,10.83,1.92,1.9362,0.019929,1.9466,0.018435,10.6521,0.16449,10.6264,0.16253
2007-05-27T01:30:00,0,2007-05-27T01:30:00,1001,10.4,1.9,9,10.7,8.9,10.38,1.9,1.9072,0.023446,1.9117,0.02097,10.6708,0.18966,10.6432,0.18652
2007-05-27T01:35:00,0,2007-05-27T01:35:00,,,,,,,10.5,1.88,1.8793,0.022001,1.8835,0.019827,10.5848,0.1777,10.5667,0.17496
2007-05-27T01:40:00,0,2007-05-27T01:40:00,1001,10.7,1.9,26,8.4,5.4,10.75,1.88,1.8583,0.026324,1.8702,0.02278,10.5957,0.20657,10.5811,0.20232
2007-05-27T01:45:00,0,2007-05-27T01:45:00,1001,10.7,1.9,37,10.1,8.5,10.67,1.86,1.8771,0.018649,1.8799,0.017263,10.6711,0.15244,10.6731,0.15075
2007-05-27T01:50:00,0,2007-05-27T01:50:00,1001,10.3,1.9,24,11.5,9.2,10.25,1.86,1.87,0.02254,1.8791,0.019965,10.6962,0.17798,10.7009,0.17516
2007-05-27T01:55:00,0,2007-05-27T01:55:00,1001,10.2,1.9,21,9.5,9.2,10.17,1.86,1.8794,0.021908,1.8816,0.019346,10.5781,0.17224,10.5881,0.16955
2007-05-27T02:00:00,0,2007-05-27T02:00:00,,,,,,,10.42,1.87,1.8904,0.021631,1.8889,0.019026,10.4554,0.16911,10.4699,0.16646
2007-05-27T02:05:00,0,2007-05-27T02:05:00,1001,10.5,1.9,35,10.7,9.8,10.33,1.87,1.8989,0.019766,1.897,0.017901,10.4691,0.15802,10.4889,0.15601
2007-05-27T02:10:00,0,2007-05-27T02:10:00,1001,10.1,1.9,35,8.9,8.4,10.33,1.9,1.9106,0.023861,1.9061,0.020665,10.4706,0.18542,10.504,0.18213
2007-05-27T02:15:00,0,2007-05-27T02:15:00,1001,10.3,1.9,33,9.9,7.2,10.25,1.92,1.9212,0.022476,1.9162,0.019742,10.3304,0.17715,10.3714,0.17421
2007-05-27T02:20:00,0,2007-05-27T02:20:00,1001,10.1,2,66,9.3,6.5,10.08,1.95,1.9304,0.021681,1.9251,0.019221,10.3072,0.17205,10.3466,0.16931
2007-05-27T02:25:00,0,2007-05-27T02:25:00,,,,,,,10.17,1.98,1.9791,0.021407,1.9655,0.018814,10.2236,0.16896,10.2646,0.16623
2007-05-27T02:30:00,0,2007-05-27T02:30:00,1000,10.5,2,58,7.4,5.5,10.33,2.02,2.0067,0.025869,1.9943,0.022011,10.2066,0.19854,10.2609,0.19456
2007-05-27T02:35:00,0,2007-05-27T02:35:00,1000,10.5,2,42,9.1,5.2,10.17,2.04,2.0332,0.023524,2.0208,0.02053,10.3184,0.18482,10.3573,0.18157
2007-05-27T02:40:00,0,2007-05-27T02:40:00,1000,10.2,2.1,83,5.6,4.6,10.17,2.08,2.0496,0.022218,2.0365,0.019677,10.3963,0.1764,10.4252,0.17355
2007-05-27T02:45:00,0,2007-05-27T02:45:00,1000,10.4,2.1,77,5.1,3.8,10.42,2.12,2.1011,0.021565,2.0787,0.019249,10.3453,0.1712,10.3747,0.16856
2007-05-27T02:50:00,0,2007-05-27T02:50:00,,,,,,,10.17,2.14,2.1352,0.021216,2.1068,0.01901,10.3792,0.16805,10.3995,0.16553
2007-05-27T02:55:00,0,2007-05-27T02:55:00,1000,10,2.2,98,8.6,3.8,10,2.18,2.1827,0.01949,2.1616,0.017911,10.2542,0.15709,10.2737,0.15521
2007-05-27T03:00:00,0,2007-05-27T03:00:00,1000,10,2.2,82,6.2,5.4,10,2.2,2.2196,0.023417,2.2024,0.020694,10.2562,0.18373,10.2791,0.18068
2007-05-27T03:05:00,0,2007-05-27T03:05:00,1000,10.2,2.2,67,3.5,3.4,10.17,2.24,2.2471,0.022162,2.2355,0.019774,10.1635,0.17549,10.1832,0.17278
2007-05-27T03:10:00,0,2007-05-27T03:10:00,1000,11.1,2.3,104,4.5,2,11.08,2.27,2.2744,0.017446,2.2673,0.016316,10.4518,0.14252,10.4582,0.14111
2007-05-27T03:15:00,0,2007-05-27T03:15:00,,,,,,,10.36,2.28,2.3061,0.021064,2.2894,0.019023,10.4984,0.16732,10.4986,0.16495
2007-05-27T03:20:00,0,2007-05-27T03:20:00,1000,10.5,2.3,117,2.5,2.5,10.5,2.29,2.336,0.025435,2.3158,0.021996,10.5489,0.19608,10.5465,0.19237
2007-05-27T03:25:00,0,2007-05-27T03:25:00,1000,10.4,2.3,152,0.4,1.5,10.36,2.31,2.3461,0.023329,2.3352,0.020553,10.5829,0.18291,10.5812,0.1799
2007-05-27T03:30:00,0,2007-05-27T03:30:00,1000,10.4,2.3,50,2.7,0.8,10.39,2.33,2.3485,0.022142,2.3486,0.019706,10.5686,0.17478,10.5676,0.17213
2007-05-27T03:35:00,0,2007-05-27T03:35:00,1000,10.8,2.3,7,0.4,1.3,10.75,2.33,2.346,0.021511,2.3505,0.019204,10.5579,0.16973,10.5539,0.16728
2007-05-27T03:40:00,0,2007-05-27T03:40:00,,,,,,,10.33,2.35,2.3398,0.021213,2.3397,0.018805,10.6872,0.16666,10.6769,0.16424
2007-05-27T03:45:00,0,2007-05-27T03:45:00,1000,10.5,2.4,246,5.2,2.3,10.83,2.35,2.3473,0.025565,2.3467,0.022002,10.7478,0.19508,10.7354,0.19158
2007-05-27T03:50:00,0,2007-05-27T03:50:00,1000,10.5,2.4,247,5.2,3.8,10.5,2.35,2.3788,0.023213,2.3768,0.0205,10.7089,0.18209,10.7064,0.17922
2007-05-27T03:55:00,0,2007-05-27T03:55:00,1000,10.6,2.4,257,5.4,4.4,10.58,2.35,2.3972,0.017732,2.3988,0.016551,10.6577,0.14463,10.6573,0.14324
2007-05-27T04:00:00,0,2007-05-27T04:00:00,999,10.4,2.4,260,4.1,3.1,10.42,2.35,2.4047,0.021328,2.4051,0.019215,10.7007,0.16902,10.6992,0.16672
2007-05-27T04:05:00,0,2007-05-27T04:05:00,,,,,,,10,2.35,2.4089,0.021,2.4224,0.018892,10.644,0.16596,10.6409,0.16373
2007-05-27T04:10:00,0,2007-05-27T04:10:00,999,9.8,2.4,251,5.4,4.9,10.08,2.37,2.4138,0.025371,2.4399,0.022283,10.6804,0.194,10.6776,0.19084
2007-05-27T04:15:00,0,2007-05-27T04:15:00,999,9.9,2.4,257,5.2,4.8,10.08,2.37,2.407,0.018337,2.4237,0.017147,10.208,0.14867,10.2158,0.14725
2007-05-27T04:20:00,0,2007-05-27T04:20:00,999,9.9,2.4,254,5.4,4.6,9.92,2.37,2.4094,0.021953,2.4265,0.019814,10.1817,0.17325,10.1874,0.17088
2007-05-27T04:25:00,0,2007-05-27T04:25:00,999,9.7,2.4,255,6.2,4.3,9.67,2.38,2.4086,0.021249,2.4167,0.019251,10.0603,0.16826,10.0621,0.16602
2007-05-27T04:30:00,0,2007-05-27T04:30:00,999,9.8,2.4,260,6,4,9.83,2.39,2.4089,0.020896,2.4068,0.018962,9.9079,0.16521,9.9038,0.16304
2007-05-27T04:35:00,0,2007-05-27T04:35:00,,,,,,,9.92,2.4,2.4103,0.020707,2.411,0.018832,9.8315,0.16342,9.8221,0.1613
2007-05-27T04:40:00,0,2007-05-27T04:40:00,999,10,2.4,263,5.1,4.1,9.83,2.41,2.4166,0.024945,2.4141,0.021864,9.792,0.19111,9.7777,0.18788
2007-05-27T04:45:00,0,2007-05-27T04:45:00,999,9.9,2.4,277,4.7,3.6,9.92,2.41,2.417,0.022958,2.4087,0.020513,9.8428,0.17946,9.8199,0.17683
2007-05-27T04:50:00,0,2007-05-27T04:50:00,999,10.2,2.4,298,3.7,3.4,10.17,2.43,2.4191,0.021839,2.4033,0.019688,9.8482,0.17202,9.8196,0.16973
2007-05-27T04:55:00,0,2007-05-27T04:55:00,,,,,,,9.67,2.43,2.4218,0.021205,2.4116,0.019055,9.9647,0.16728,9.932,0.16511
2007-05-27T05:00:00,0,2007-05-27T05:00:00,998,10.1,2.5,302,3.5,3.4,10,2.45,2.4331,0.025328,2.4281,0.022243,9.9804,0.19463,9.9331,0.19155
2007-05-27T05:05:00,0,2007-05-27T05:05:00,999,9.8,2.5,327,4.3,4,9.83,2.47,2.4867,0.018302,2.4776,0.017131,9.9696,0.14842,9.9329,0.14715
2007-05-27T05:10:00,0,2007-05-27T05:10:00,998,10.1,2.5,1,3.5,2.9,10.08,2.49,2.5076,0.021847,2.4887,0.019765,9.992,0.17224,9.9267,0.17021
2007-05-27T05:15:00,0,2007-05-27T05:15:00,998,9.7,2.5,1,0.4,1.4,9.67,2.49,2.5265,0.021158,2.5093,0.019218,10.0585,0.16695,9.9925,0.16506
2007-05-27T05:20:00,0,2007-05-27T05:20:00,,,,,,,9.56,2.51,2.5387,0.020756,2.5241,0.018928,9.9779,0.16374,9.9187,0.16191
2007-05-27T05:25:00,0,2007-05-27T05:25:00,998,9.9,2.5,123,0.4,0.3,10.08,2.52,2.5606,0.024978,2.5563,0.021923,10.0083,0.19059,9.9276,0.18782
2007-05-27T05:30:00,0,2007-05-27T05:30:00,998,10.2,2.5,150,0.4,0.3,10.17,2.54,2.5541,0.022912,2.5588,0.020469,10.0016,0.17843,9.9356,0.17617
2007-05-27T05:35:00,0,2007-05-27T05:35:00,998,10.1,2.6,228,0.4,0.3,10.11,2.56,2.5672,0.0176,2.5721,0.016511,10.1084,0.14275,10.0717,0.14164
2007-05-27T05:40:00,0,2007-05-27T05:40:00,998,10,2.6,220,0.4,0.3,10,2.58,2.5872,0.021157,2.6053,0.01915,10.1609,0.16599,10.1225,0.16417
2007-05-27T05:45:00,0,2007-05-27T05:45:00,,,,,,,10.27,2.58,2.6137,0.020787,2.6295,0.018836,10.1658,0.16305,10.1274,0.16129
2007-05-27T05:50:00,0,2007-05-27T05:50:00,998,10.1,2.6,212,0.4,0.3,10.25,2.64,2.6222,0.019187,2.6437,0.017837,10.1805,0.15324,10.1326,0.15197
2007-05-27T05:55:00,0,2007-05-27T05:55:00,998,10.2,2.7,206,0.6,0.3,10.42,2.66,2.6452,0.022928,2.6759,0.020594,10.2376,0.17777,10.1661,0.17579
2007-05-27T06:00:00,0,2007-05-27T06:00:00,998,10.2,2.7,194,0.4,0.3,10.17,2.7,2.6941,0.02177,2.7139,0.019733,10.2868,0.17023,10.2186,0.16849
2007-05-27T06:05:00,0,2007-05-27T06:05:00,,,,,,,10.58,2.75,2.7273,0.021079,2.7418,0.019213,10.3238,0.16546,10.2579,0.16387
2007-05-27T06:10:00,0,2007-05-27T06:10:00,,,,,,,10.67,2.78,2.7607,0.025168,2.7745,0.021962,10.3925,0.19191,10.3024,0.18951
2007-05-27T06:15:00,0,2007-05-27T06:15:00,997,10.5,2.8,69,4.5,4.6,10.67,2.83,2.7965,0.029786,2.8102,0.02538,10.4667,0.22117,10.3548,0.21785
2007-05-27T06:20:00,0,2007-05-27T06:20:00,997,10.3,2.9,79,5.8,3.9,10.75,2.88,2.8624,0.01918,2.8635,0.01797,10.4687,0.15511,10.4187,0.15412
2007-05-27T06:25:00,0,2007-05-27T06:25:00,997,10.4,2.9,113,8.6,4,10.42,2.93,2.9072,0.022594,2.9127,0.020382,10.5424,0.17803,10.4888,0.17633
2007-05-27T06:30:00,0,2007-05-27T06:30:00,997,10.3,3,102,10.3,8.5,10.33,2.98,2.9513,0.021387,2.9474,0.019233,10.5695,0.16915,10.5318,0.16755
2007-05-27T06:35:00,0,2007-05-27T06:35:00,997,9.8,3,133,13.4,10,9.83,3.04,3.0131,0.017109,3.0109,0.015991,10.3405,0.13871,10.3278,0.13779
2007-05-27T06:40:00,0,2007-05-27T06:40:00,,,,,,,9.42,3.1,3.0657,0.020573,3.0554,0.018448,10.3804,0.16116,10.3624,0.15963
2007-05-27T06:45:00,0,2007-05-27T06:45:00,997,9.3,3.1,136,6.8,6.9,9.25,3.16,3.1201,0.024686,3.1163,0.021174,10.4258,0.18721,10.4078,0.18481
2007-05-27T06:50:00,0,2007-05-27T06:50:00,997,9.1,3.2,139,8.4,5.8,9.08,3.2,3.1786,0.018127,3.172,0.016675,9.7417,0.14582,9.7481,0.14468
2007-05-27T06:55:00,0,2007-05-27T06:55:00,997,9.1,3.3,133,10.5,8.5,9.08,3.25,3.2363,0.021667,3.2344,0.019025,9.7001,0.16914,9.7112,0.16727
2007-05-27T07:00:00,0,2007-05-27T07:00:00,997,8.9,3.3,127,11.1,9.7,8.92,3.31,3.32,0.021076,3.3048,0.018984,9.4616,0.16474,9.4796,0.16295
2007-05-27T07:05:00,0,2007-05-27T07:05:00,,,,,,,9.33,3.36,3.3739,0.020714,3.3663,0.018476,9.225,0.16206,9.2588,0.1603
2007-05-27T07:10:00,0,2007-05-27T07:10:00,997,9.3,3.4,104,9.3,8.7,9.75,3.41,3.4333,0.024778,3.4149,0.021626,9.1582,0.18841,9.2102,0.18573
2007-05-27T07:15:00,0,2007-05-27T07:15:00,997,9.5,3.5,102,11.5,9.8,9.5,3.45,3.4755,0.022768,3.4662,0.020479,9.1567,0.17687,9.2009,0.17466
2007-05-27T07:20:00,0,2007-05-27T07:20:00,997,9.6,3.5,104,11.7,10.7,9.58,3.52,3.5397,0.021588,3.5273,0.020099,9.2399,0.16953,9.278,0.16756
2007-05-27T07:25:00,0,2007-05-27T07:25:00,997,9.8,3.6,108,11.1,10.3,9.75,3.56,3.5768,0.020943,3.5654,0.019297,9.3463,0.16488,9.3778,0.16304
2007-05-27T07:30:00,0,2007-05-27T07:30:00,997,9.6,3.6,108,10.1,10.1,9.58,3.6,3.6339,0.020566,3.6252,0.019141,9.5031,0.16203,9.5297,0.16026
2007-05-27T07:35:00,0,2007-05-27T07:35:00,,,,,,,9.42,3.66,3.6678,0.020421,3.6646,0.018672,9.5686,0.16038,9.5928,0.15857
2007-05-27T07:40:00,0,2007-05-27T07:40:00,997,9.4,3.7,103,11.5,10,9.83,3.7,3.7097,0.024479,3.7106,0.021269,9.6142,0.1867,9.6388,0.18409
2007-05-27T07:45:00,0,2007-05-27T07:45:00,997,9.7,3.7,101,13.2,10.7,9.67,3.73,3.7281,0.018085,3.7318,0.016434,9.6198,0.14574,9.6274,0.14456
2007-05-27T07:50:00,0,2007-05-27T07:50:00,997,9.7,3.8,103,12,11.1,9.67,3.78,3.7605,0.021574,3.7715,0.018526,9.6737,0.16906,9.6755,0.16713
2007-05-27T07:55:00,0,2007-05-27T07:55:00,,,,,,,9.17,3.82,3.8056,0.020874,3.8158,0.017902,9.7427,0.16461,9.7268,0.16278
2007-05-27T08:00:00,0,2007-05-27T08:00:00,997,9.5,3.9,94,12.4,10.8,9.17,3.85,3.8339,0.024835,3.8373,0.020313,9.8097,0.19083,9.7854,0.18816
2007-05-27T08:05:00,0,2007-05-27T08:05:00,997,9.7,3.9,92,12.2,11.1,9.67,3.89,3.8901,0.022707,3.8889,0.019133,9.7579,0.17786,9.7198,0.17569
2007-05-27T08:10:00,0,2007-05-27T08:10:00,,,,,,,9.33,3.91,3.9199,0.021511,3.9211,0.018251,9.7987,0.16977,9.7294,0.16796
2007-05-27T08:15:00,0,2007-05-27T08:15:00,997,9.1,3.9,94,12.4,10.8,9.08,3.93,3.9244,0.019406,3.9338,0.017144,9.5864,0.15649,9.5162,0.15522
2007-05-27T08:20:00,0,2007-05-27T08:20:00,,,,,,,9.17,3.95,3.9392,0.02293,3.9449,0.01931,9.6164,0.18022,9.5081,0.1783
2007-05-27T08:25:00,0,2007-05-27T08:25:00,996,9.2,4,94,13.6,12.3,9,3.97,3.9721,0.020087,3.9761,0.017529,9.4763,0.16191,9.3872,0.16064
2007-05-27T08:30:00,0,2007-05-27T08:30:00,996,9.3,4,94,13.8,12.1,9.33,3.99,3.9817,0.023583,3.9987,0.019457,9.4923,0.18547,9.3748,0.18348
2007-05-27T08:35:00,0,2007-05-27T08:35:00,996,9.2,4,93,11.7,11.8,9.17,3.99,3.9949,0.021844,4.0101,0.018304,9.4396,0.17322,9.3521,0.17147
2007-05-27T08:40:00,0,2007-05-27T08:40:00,997,9.8,4,93,11.3,11,9.75,4.01,3.9988,0.020922,4.0101,0.017676,9.373,0.16596,9.3052,0.1643
2007-05-27T08:45:00,0,2007-05-27T08:45:00,,,,,,,9.58,4.01,3.9975,0.02048,4.0035,0.017331,9.5257,0.16171,9.4702,0.1601
2007-05-27T08:50:00,0,2007-05-27T08:50:00,996,9.7,4,83,11.3,10.8,9.67,4.01,3.9923,0.024475,4.002,0.020008,9.559,0.18689,9.4948,0.18442
2007-05-27T08:55:00,0,2007-05-27T08:55:00,996,9.7,4,78,10.5,10.3,10,4.03,3.9877,0.022627,4.0049,0.019056,9.6507,0.17505,9.6113,0.17298
2007-05-27T09:00:00,0,2007-05-27T09:00:00,996,10.1,4,77,13.2,10.5,10.08,4.02,3.983,0.021662,4.0023,0.018505,9.7151,0.16757,9.6847,0.16573
2007-05-27T09:05:00,0,2007-05-27T09:05:00,996,10.5,4,77,11.9,11.1,10.5,4.02,3.9792,0.021234,3.9978,0.018152,9.8958,0.16281,9.8788,0.16108
2007-05-27T09:10:00,0,2007-05-27T09:10:00,,,,,,,10.5,4.02,3.9771,0.021154,3.9933,0.017949,10.1599,0.15981,10.136,0.15817
2007-05-27T09:15:00,0,2007-05-27T09:15:00,996,10.5,4,78,12.2,10.9,10.25,4.02,3.9815,0.019591,3.9918,0.017158,10.3368,0.15059,10.3137,0.14932
2007-05-27T09:20:00,0,2007-05-27T09:20:00,996,10.7,4,79,14,11.3,10.5,4.02,3.9755,0.023861,3.9879,0.019615,10.4431,0.17351,10.4131,0.17155
2007-05-27T09:25:00,0,2007-05-27T09:25:00,996,11,4,82,12.6,11.6,11,4,3.9816,0.022769,3.9889,0.018874,10.6387,0.1662,10.6117,0.16445
2007-05-27T09:30:00,0,2007-05-27T09:30:00,996,11.5,4,79,13.8,11.7,11.5,4,3.9918,0.017814,3.9866,0.015718,11.0474,0.13713,11.0225,0.13619
2007-05-27T09:35:00,0,2007-05-27T09:35:00,996,11.7,4,83,15.4,13.1,11.73,4,3.9929,0.021769,3.9806,0.017868,11.1986,0.15831,11.1773,0.15677
2007-05-27T09:40:00,0,2007-05-27T09:40:00,,,,,,,12,3.98,3.9979,0.021523,3.983,0.01757,11.5008,0.15635,11.4744,0.15485
2007-05-27T09:45:00,0,2007-05-27T09:45:00,996,11.6,4,97,15.4,12.2,11.92,3.98,4.0008,0.019686,3.9877,0.016855,11.6421,0.14822,11.6263,0.14699
2007-05-27T09:50:00,0,2007-05-27T09:50:00,995,12.2,4,95,22.3,14.2,12.17,3.98,4.0047,0.02366,3.9917,0.018828,11.7956,0.17044,11.7781,0.16854
2007-05-27T09:55:00,0,2007-05-27T09:55:00,995,12.3,4,102,17.5,16.3,12.33,3.98,4.0069,0.022293,3.9913,0.018087,12.0816,0.1638,12.0744,0.16207
2007-05-27T10:00:00,0,2007-05-27T10:00:00,995,12,4,94,20.2,17.5,12,3.98,4.008,0.021558,3.9946,0.017847,12.3103,0.15941,12.3085,0.15777
2007-05-27T10:05:00,0,2007-05-27T10:05:00,,,,,,,11.33,3.98,4.0081,0.021237,4.0005,0.018005,12.3738,0.15657,12.3679,0.15497
2007-05-27T10:10:00,0,2007-05-27T10:10:00,995,12.3,4,91,19.4,16.9,12.58,3.98,4.0059,0.019543,3.9962,0.016997,12.4459,0.14805,12.433,0.14678
2007-05-27T10:15:00,0,2007-05-27T10:15:00,995,12.9,4,95,18.8,17,12.83,3.98,4.0062,0.023655,3.9974,0.018901,12.5725,0.16984,12.5508,0.1679
2007-05-27T10:20:00,0,2007-05-27T10:20:00,995,12.4,4,95,14.4,14.2,12.42,3.97,4.0022,0.022587,3.9816,0.018813,12.8043,0.16313,12.7857,0.16136
2007-05-27T10:25:00,0,2007-05-27T10:25:00,995,11.8,4,104,18.8,16,11.75,3.96,3.9987,0.017788,3.9886,0.016642,12.5301,0.13551,12.5243,0.13448
2007-05-27T10:30:00,0,2007-05-27T10:30:00,995,10.9,4,98,19.2,17,10.92,3.97,3.9931,0.021934,3.9884,0.020065,12.5995,0.15606,12.5834,0.15443
2007-05-27T10:35:00,0,2007-05-27T10:35:00,,,,,,,10.58,3.96,3.9879,0.021931,3.9795,0.019428,12.1522,0.15446,12.1374,0.15281
2007-05-27T10:40:00,0,2007-05-27T10:40:00,995,10.2,4,95,21.6,20,10.33,3.96,3.9875,0.02007,3.9797,0.018726,11.5301,0.14688,11.5127,0.14554
2007-05-27T10:55:00,0,2007-05-27T10:55:00,,,,,,,9.83,3.93,3.9405,0.035223,3.9363,0.031869,11.2845,0.2197,11.2436,0.21626
2007-05-27T11:10:00,0,2007-05-27T11:10:00,,,,,,,10.08,3.88,3.8556,0.053228,3.8522,0.049641,11.0741,0.3072,11.0309,0.30089
2007-05-27T11:25:00,0,2007-05-27T11:25:00,,,,,,,10.25,3.8,3.7312,0.070511,3.7293,0.068001,10.9139,0.40136,10.88,0.3915
2007-05-27T11:40:00,0,2007-05-27T11:40:00,,,,,,,10.25,3.68,3.5728,0.0859,3.5707,0.085736,10.8119,0.49753,10.7988,0.48359
2007-05-27T11:50:00,0,2007-05-27T11:50:00,995,10,3.6,94,21.8,19.4,10.42,3.59,3.4526,0.095374,3.5654,0.074588,10.7746,0.56125,10.7623,0.54056
2007-05-27T11:55:00,0,2007-05-27T11:55:00,995,10,3.6,101,18.7,18.4,10.5,3.53,3.5652,0.021379,3.5668,0.021059,10.0473,0.18049,10.0572,0.17974
2007-05-27T12:00:00,0,2007-05-27T12:00:00,995,10.3,3.5,104,20.8,16.5,10.25,3.47,3.5079,0.023714,3.5016,0.02277,10.0058,0.19446,10.0295,0.19304
2007-05-27T12:05:00,0,2007-05-27T12:05:00,995,10.1,3.4,90,22.5,17.9,10.08,3.42,3.4447,0.021608,3.4388,0.02091,10.0848,0.1712,10.1097,0.16992
2007-05-27T12:10:00,0,2007-05-27T12:10:00,,,,,,,10,3.34,3.3644,0.021035,3.3565,0.020155,10.0688,0.16059,10.0949,0.15922
2007-05-27T12:15:00,0,2007-05-27T12:15:00,995,10.7,3.3,87,18.5,16.1,10.58,3.26,3.2975,0.025399,3.2941,0.023356,10.0532,0.18264,10.0877,0.18043
2007-05-27T12:20:00,0,2007-05-27T12:20:00,995,10.3,3.2,91,19.4,17.2,9.92,3.19,3.2188,0.018383,3.2199,0.017506,10.2881,0.14287,10.3063,0.14171
2007-05-27T12:25:00,0,2007-05-27T12:25:00,995,10.1,3.1,92,16.5,16,10.08,3.12,3.1471,0.021965,3.1376,0.020153,10.3075,0.16435,10.3299,0.16241
2007-05-27T12:30:00,0,2007-05-27T12:30:00,995,10.1,3.1,96,20,17,10.13,3.05,3.0553,0.021136,3.0529,0.019334,10.2612,0.16043,10.2865,0.15851
2007-05-27T12:35:00,0,2007-05-27T12:35:00,995,10.1,3,92,17.1,14.8,10.08,2.96,2.997,0.020574,2.9916,0.018897,10.2248,0.15806,10.2566,0.15616
2007-05-27T12:40:00,0,2007-05-27T12:40:00,,,,,,,10,2.89,2.9251,0.020225,2.9205,0.018648,10.1952,0.15657,10.2356,0.15471
2007-05-27T12:45:00,0,2007-05-27T12:45:00,995,10,2.8,93,18.5,14.8,10,2.8,2.8528,0.023988,2.8466,0.021508,10.1997,0.18096,10.2491,0.17821
2007-05-27T12:50:00,0,2007-05-27T12:50:00,995,9.9,2.7,91,14.2,15.6,9.92,2.73,2.7576,0.022126,2.7626,0.020158,10.1299,0.17094,10.183,0.16871
2007-05-27T12:55:00,0,2007-05-27T12:55:00,995,10,2.7,88,12.6,11.7,10,2.65,2.6611,0.021047,2.6651,0.019342,10.0464,0.16416,10.0976,0.16223
2007-05-27T13:00:00,0,2007-05-27T13:00:00,995,9.9,2.6,88,13.4,13.3,9.92,2.58,2.6018,0.016833,2.6014,0.016071,9.9853,0.13602,10.0252,0.13496
2007-05-27T13:05:00,0,2007-05-27T13:05:00,,,,,,,9.92,2.51,2.5336,0.019961,2.5333,0.018603,9.9659,0.1566,10.0165,0.15497
2007-05-27T13:10:00,0,2007-05-27T13:10:00,995,10.1,2.5,84,16.5,13.3,10.08,2.44,2.4811,0.018543,2.4784,0.017561,9.9971,0.14798,10.0397,0.14669
2007-05-27T13:15:00,0,2007-05-27T13:15:00,995,10.2,2.4,91,18.5,14.7,10.08,2.38,2.4231,0.021829,2.4203,0.020039,9.9877,0.16962,10.0428,0.16769
2007-05-27T13:20:00,0,2007-05-27T13:20:00,995,10,2.3,86,16.3,15.5,10,2.32,2.3409,0.017102,2.3364,0.016274,10.0379,0.138,10.073,0.13698
2007-05-27T13:25:00,0,2007-05-27T13:25:00,994,10.3,2.3,94,20.2,16.1,10.33,2.26,2.2882,0.020164,2.284,0.018679,10.041,0.15844,10.0844,0.15684
2007-05-27T13:30:00,0,2007-05-27T13:30:00,994,10.1,2.2,86,20.4,17.4,10.08,2.21,2.2449,0.01979,2.2368,0.01833,10.1279,0.15568,10.1621,0.15408
2007-05-27T13:35:00,0,2007-05-27T13:35:00,,,,,,,9.58,2.17,2.1872,0.019603,2.1802,0.018167,10.141,0.15405,10.1719,0.15245
2007-05-27T13:40:00,0,2007-05-27T13:40:00,995,10.2,2.1,72,14,15.2,10.08,2.13,2.1484,0.023169,2.1431,0.020892,10.1668,0.17739,10.2035,0.17504
2007-05-27T13:45:00,0,2007-05-27T13:45:00,995,10.2,2.1,74,15,14,10.17,2.07,2.0959,0.017538,2.0927,0.016603,10.2072,0.14127,10.2257,0.14009
2007-05-27T13:50:00,0,2007-05-27T13:50:00,995,10.2,2,76,18.8,15.8,10.17,2.03,2.0647,0.020644,2.0567,0.019057,10.2454,0.16218,10.2634,0.16036
2007-05-27T13:55:00,0,2007-05-27T13:55:00,,,,,,,10.33,2,2.0143,0.020085,2.0206,0.01849,10.2749,0.15817,10.2861,0.15641
2007-05-27T14:00:00,0,2007-05-27T14:00:00,995,10.3,2,73,18.3,16.1,10.08,1.96,1.9891,0.023704,1.9855,0.021319,10.3226,0.1815,10.3337,0.17898
2007-05-27T14:05:00,0,2007-05-27T14:05:00,,,,,,,10.17,1.93,1.9735,0.021792,1.9653,0.019858,10.367,0.17037,10.3687,0.16826
2007-05-27T14:10:00,0,2007-05-27T14:10:00,994,9.9,1.9,69,19.2,15.5,9.92,1.9,1.9581,0.025409,1.951,0.022486,10.4235,0.1944,10.4211,0.19141
2007-05-27T14:15:00,0,2007-05-27T14:15:00,994,10.2,1.9,66,20.2,15.6,10.17,1.88,1.919,0.022597,1.9231,0.02053,10.2725,0.17718,10.2708,0.17493
2007-05-27T14:20:00,0,2007-05-27T14:20:00,,,,,,,9.92,1.88,1.9006,0.021058,1.9051,0.019591,10.2877,0.16678,10.287,0.16492
2007-05-27T14:25:00,0,2007-05-27T14:25:00,994,10.5,1.9,73,18.5,16.2,10.08,1.88,1.8962,0.018982,1.8959,0.017891,10.389,0.15332,10.3897,0.15192
2007-05-27T14:30:00,0,2007-05-27T14:30:00,994,10.1,1.9,71,19.2,14.7,10.13,1.88,1.8941,0.022088,1.8955,0.020235,10.4417,0.17435,10.4417,0.17225
2007-05-27T14:35:00,0,2007-05-27T14:35:00,994,9.9,1.9,71,17.3,14.9,9.92,1.89,1.8993,0.017068,1.9007,0.016266,10.2403,0.13932,10.2454,0.13824
